Nationality,Player,Position,Status,Born,Died
Argentina,Gabriel Batistuta,Forward,Active,1969,
Argentina,Hernn Crespo,Forward,Active,1975,
Argentina,Alfredo Di Stfano,Forward,Retired,1926,2014.0
Argentina,Mario Kempes,Forward,Retired,1954,
Argentina,Diego Maradona,Midfielder,Retired,1960,2020.0
Argentina,Daniel Passarella,Defender,Retired,1953,
Argentina,Javier Saviola,Forward,Active,1981,
Argentina,Omar Svori,Forward,Retired,1935,2005.0
Argentina,Juan Sebastin Vern,Midfielder,Active,1975,
Argentina,Javier Zanetti,Defender/Midfielder,Active,1973,
Belgium,Jan Ceulemans,Midfielder,Retired,1957,
Belgium,Jean-Marie Pfaff,Goalkeeper,Retired,1953,
Belgium,Franky Van der Elst,Midfielder,Retired,1961,
Brazil,Carlos Alberto,Defender,Retired,1944,2016.0
Brazil,Cafu,Defender,Active,1970,
Brazil,Falco,Midfielder,Retired,1953,
Brazil,Pel,Forward,Retired,1940,2022.0
Brazil,Jnior,Midfielder,Retired,1954,
Brazil,Rivaldo,Midfielder,Active,1972,
Brazil,Rivelino,Midfielder,Retired,1946,
Brazil,Roberto Carlos,Defender,Active,1973,
Brazil,Romrio,Forward,Active,1966,
Brazil,Ronaldinho,Midfielder/Forward,Active,1980,
Brazil,Ronaldo,Forward,Active,1976,
Brazil,Djalma Santos,Defender,Retired,1929,2013.0
Brazil,Nlton Santos,Defender,Retired,1925,2013.0
Brazil,Scrates,Midfielder,Retired,1954,2011.0
Brazil,Zico,Midfielder/Forward,Retired,1953,
Bulgaria,Hristo Stoichkov,Forward,Retired,1966,
Cameroon,Roger Milla,Forward,Retired,1952,
Chile,Elas Figueroa,Defender,Retired,1946,
Chile,Ivn Zamorano,Forward,Retired,1967,
Colombia,Carlos Valderrama,Midfielder,Retired,1961,
Croatia,Davor uker,Forward,Retired,1968,
Czech Republic,Josef Masopust,Midfielder,Retired,1931,2015.0
Czech Republic,Pavel Nedvd,Midfielder,Active,1972,
Denmark,Brian Laudrup,Forward,Retired,1969,
Denmark,Michael Laudrup,Midfielder,Retired,1964,
Denmark,Peter Schmeichel,Goalkeeper,Retired,1963,
England,Gordon Banks,Goalkeeper,Retired,1937,2019.0
England,David Beckham,Midfielder,Active,1975,
England,Bobby Charlton,Midfielder,Retired,1937,
